serial,name,outlet_name,address_1,address_2,city,state,zip,pin,modes,interval,txpower,ibeacon,eddystoneuid,eddystoneurl
000105,3918094,WESTGATE MALL,1600 SARATOGA AVE,FS BOI I/S ANY MOUN,SAN JOSE,CA,951295101,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000069BE,E7F82FC8513BE02469B6AE000000000069,E7017261646975736E6574776F726B7307
000106,9996982,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,PRKG B 2 FL ELEVATO,SANTA CLARA,CA,950506709,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006ABE,E7F82FC8513BE02469B6AE00000000006a,E7017261646975736E6574776F726B7307
000107,9996985,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,O/S PRKG B 1 FL,SANTA CLARA,CA,950506709,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006BBE,E7F82FC8513BE02469B6AE00000000006b,E7017261646975736E6574776F726B7307
000108,1849020,VG ALMADEN APTS,1501 ALMADEN EXPY,BOI O/S OFF 20Z,SAN JOSE,CA,951251259,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006CBE,E7F82FC8513BE02469B6AE00000000006c,E7017261646975736E6574776F726B7307
000109,2116158,WESTFIELD VALLEY FAIR MALL,2855 STEVENS CREEK BLVD,PRKNG C 2 I/S LL CA,SANTA CLARA,CA,950506709,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006DBE,E7F82FC8513BE02469B6AE00000000006d,E7017261646975736E6574776F726B7307
000110,4891777,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,RESTROOM BESIDE MIC,LIVERMORE,CA,94551,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006EBE,E7F82FC8513BE02469B6AE00000000006e,E7017261646975736E6574776F726B7307
000111,4442079,PIER 39 GARAGE FS BOI,     PIER 39,BOI 3RD FLOOR GARAG,SAN FRANCISCO,CA,941331007,34093409,5,100,14,F82FC8510000000000003BE02469B6AE0000006FBE,E7F82FC8513BE02469B6AE00000000006f,E7017261646975736E6574776F726B7307
000112,3393331,AMC THEATERS #04340,1000 VAN NESS AVE,I/S 7TH FLR MULTI,SAN FRANCISCO,CA,941096973,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000070BE,E7F82FC8513BE02469B6AE000000000070,E7017261646975736E6574776F726B7307
000113,4837977,LIVERMORE VALLEY PREMIUM,2774 PARAGON OUTLETS DR,END OF EMPLOYEE HAL,LIVERMORE,CA,945514204,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000071BE,E7F82FC8513BE02469B6AE000000000071,E7017261646975736E6574776F726B7307
000114,3130825,POINT ALAMEDA APTS FS COI,1380 BALLENA BLVD,COI OUTSIDE BY POOL,ALAMEDA,CA,945013607,34093409,5,100,14,F82FC8510000000000003BE02469B6AE00000072BE,E7F82FC8513BE02469B6AE000000000072,E7017261646975736E6574776F726B7307
